Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00001 Position: X=-0.009807289, Y=-0.005633354, Z=0.03561783 
Frame 00002 Position: X=-0.01566672, Y=-0.00895977, Z=0.05638123 
Frame 00003 Position: X=-0.02663434, Y=-0.01511669, Z=0.09433365 
Frame 00004 Position: X=-0.03628457, Y=-0.02046776, Z=0.1268559 
Frame 00005 Position: X=-0.04557121, Y=-0.02556562, Z=0.1574764 
Frame 00006 Position: X=-0.05510098, Y=-0.03075027, Z=0.1882839 
Frame 00007 Position: X=-0.06453383, Y=-0.03584051, Z=0.2182293 
Frame 00008 Position: X=-0.07566574, Y=-0.04180002, Z=0.2529411 
Frame 00009 Position: X=-0.08838364, Y=-0.04855156, Z=0.2918549 
Frame 00010 Position: X=-0.09877932, Y=-0.0540309, Z=0.3231392 
Frame 00011 Position: X=-0.1099884, Y=-0.05990314, Z=0.3563995 
Frame 00012 Position: X=-0.1217278, Y=-0.06601667, Z=0.3907604 
Frame 00013 Position: X=-0.1336457, Y=-0.07218981, Z=0.4251976 
Frame 00014 Position: X=-0.1423784, Y=-0.07669306, Z=0.4501743 
Frame 00015 Position: X=-0.1533301, Y=-0.08231974, Z=0.4812145 
Frame 00016 Position: X=-0.1644295, Y=-0.08799982, Z=0.5123844 
Frame 00017 Position: X=-0.1772637, Y=-0.09454298, Z=0.5480957 
Frame 00018 Position: X=-0.1896712, Y=-0.1008453, Z=0.5823193 
Frame 00019 Position: X=-0.2014073, Y=-0.1067886, Z=0.6144466 
Frame 00020 Position: X=-0.213714, Y=-0.1130033, Z=0.6479092 
Frame 00021 Position: X=-0.225159, Y=-0.1187687, Z=0.6788445 
Frame 00022 Position: X=-0.2382438, Y=-0.1253452, Z=0.714016 
Frame 00023 Position: X=-0.2517589, Y=-0.1321239, Z=0.7501564 
Frame 00024 Position: X=-0.2648391, Y=-0.1386724, Z=0.784977 
Frame 00025 Position: X=-0.2771201, Y=-0.1448121, Z=0.8175507 
Frame 00026 Position: X=-0.2898464, Y=-0.1511664, Z=0.8512077 
Frame 00027 Position: X=-0.3025782, Y=-0.1575174, Z=0.884798 
Frame 00028 Position: X=-0.3155288, Y=-0.1639733, Z=0.9189053 
Frame 00029 Position: X=-0.3290227, Y=-0.1706963, Z=0.9543972 
Frame 00030 Position: X=-0.3421623, Y=-0.1772408, Z=0.9889336 
Frame 00031 Position: X=-0.3619927, Y=-0.187119, Z=1.041065 
Frame 00032 Position: X=-0.3697569, Y=-0.1909876, Z=1.061491 
Frame 00033 Position: X=-0.3829327, Y=-0.1975555, Z=1.096191 
Frame 00034 Position: X=-0.3960066, Y=-0.2040772, Z=1.130688 
Frame 00035 Position: X=-0.4088654, Y=-0.2104983, Z=1.1647 
Frame 00036 Position: X=-0.4204365, Y=-0.2162833, Z=1.195396 
Frame 00037 Position: X=-0.432368, Y=-0.2222567, Z=1.227156 
Frame 00038 Position: X=-0.4459703, Y=-0.2290778, Z=1.263515 
Frame 00039 Position: X=-0.458687, Y=-0.2354684, Z=1.297684 
Frame 00040 Position: X=-0.4712773, Y=-0.2418098, Z=1.331701 
Frame 00041 Position: X=-0.4839802, Y=-0.2482247, Z=1.366243 
Frame 00042 Position: X=-0.503058, Y=-0.2578955, Z=1.418596 
Frame 00043 Position: X=-0.5099685, Y=-0.2614102, Z=1.437719 
Frame 00044 Position: X=-0.5218106, Y=-0.2674503, Z=1.470711 
Frame 00045 Position: X=-0.5341001, Y=-0.2737436, Z=1.50527 
Frame 00046 Position: X=-0.5465997, Y=-0.2801728, Z=1.540798 
Frame 00047 Position: X=-0.5585277, Y=-0.2863383, Z=1.575096 
Frame 00048 Position: X=-0.569618, Y=-0.2920995, Z=1.60737 
Frame 00049 Position: X=-0.5811576, Y=-0.2981277, Z=1.641389 
Frame 00050 Position: X=-0.5925332, Y=-0.3041072, Z=1.675409 
Frame 00051 Position: X=-0.6038024, Y=-0.310071, Z=1.709641 
Frame 00052 Position: X=-0.6146668, Y=-0.3158631, Z=1.7432 
Frame 00053 Position: X=-0.6248249, Y=-0.3213205, Z=1.775131 
Frame 00054 Position: X=-0.6406842, Y=-0.3299341, Z=1.826205 
Frame 00055 Position: X=-0.646234, Y=-0.3329782, Z=1.844475 
Frame 00056 Position: X=-0.6552635, Y=-0.3379693, Z=1.874695 
Frame 00057 Position: X=-0.6650251, Y=-0.3434229, Z=1.908133 
