Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00001 Rotation: X=4.322807E-07, Y=0.001708564, Z=-4.254635E-08, W=0.9999986 
Frame 00002 Rotation: X=-5.183464E-06, Y=0.002674489, Z=5.437331E-07, W=0.9999964 
Frame 00003 Rotation: X=-1.731211E-05, Y=0.00371313, Z=1.822462E-06, W=0.9999931 
Frame 00004 Rotation: X=-3.487576E-05, Y=0.004766698, Z=3.683723E-06, W=0.9999887 
Frame 00005 Rotation: X=-5.709186E-05, Y=0.005757963, Z=6.055469E-06, W=0.9999834 
Frame 00006 Rotation: X=-8.258537E-05, Y=0.006655282, Z=8.804612E-06, W=0.9999779 
Frame 00007 Rotation: X=-0.0001223859, Y=0.007818331, Z=1.312191E-05, W=0.9999694 
Frame 00008 Rotation: X=-0.0001602397, Y=0.008748306, Z=1.726307E-05, W=0.9999617 
Frame 00009 Rotation: X=-0.0001698897, Y=0.008971879, Z=1.831628E-05, W=0.9999598 
Frame 00010 Rotation: X=-0.0002628856, Y=0.01078045, Z=2.864404E-05, W=0.9999419 
Frame 00011 Rotation: X=-0.0003235097, Y=0.01178195, Z=3.542488E-05, W=0.9999306 
Frame 00012 Rotation: X=-0.0004080996, Y=0.01301431, Z=4.495915E-05, W=0.9999152 
Frame 00013 Rotation: X=-0.0004884833, Y=0.01405749, Z=5.409595E-05, W=0.9999011 
Frame 00014 Rotation: X=-0.000559849, Y=0.01490498, Z=6.226554E-05, W=0.9998888 
Frame 00015 Rotation: X=-0.0006461124, Y=0.01585389, Z=7.219558E-05, W=0.9998741 
Frame 00016 Rotation: X=-0.0007666955, Y=0.01706569, Z=8.616877E-05, W=0.9998541 
Frame 00017 Rotation: X=-0.0008837824, Y=0.01813859, Z=9.984821E-05, W=0.9998351 
Frame 00018 Rotation: X=-0.0009845424, Y=0.01899496, Z=0.0001117191, W=0.9998191 
Frame 00019 Rotation: X=-0.001131271, Y=0.02015245, Z=0.0001291035, W=0.9997963 
Frame 00020 Rotation: X=-0.001242033, Y=0.02096654, Z=0.0001423413, W=0.9997794 
Frame 00021 Rotation: X=-0.001409532, Y=0.02211799, Z=0.0001624653, W=0.9997544 
Frame 00022 Rotation: X=-0.00157711, Y=0.02318836, Z=0.0001827514, W=0.9997299 
Frame 00023 Rotation: X=-0.001753993, Y=0.02424367, Z=0.0002043221, W=0.9997045 
Frame 00024 Rotation: X=-0.001901632, Y=0.02507472, Z=0.0002224725, W=0.9996837 
Frame 00025 Rotation: X=-0.002089429, Y=0.02607547, Z=0.0002456917, W=0.9996578 
Frame 00026 Rotation: X=-0.002318101, Y=0.02721773, Z=0.000274134, W=0.9996268 
Frame 00027 Rotation: X=-0.002533334, Y=0.02822795, Z=0.0003011093, W=0.9995983 
Frame 00028 Rotation: X=-0.002748766, Y=0.0291842, Z=0.0003282886, W=0.9995703 
Frame 00029 Rotation: X=-0.002999822, Y=0.03023902, Z=0.0003601497, W=0.9995381 
Frame 00030 Rotation: X=-0.003252094, Y=0.03124105, Z=0.0003923833, W=0.9995065 
Frame 00031 Rotation: X=-0.003516232, Y=0.0322365, Z=0.0004263514, W=0.999474 
Frame 00032 Rotation: X=-0.003833123, Y=0.03336595, Z=0.0004674214, W=0.9994357 
Frame 00033 Rotation: X=-0.004127344, Y=0.03435921, Z=0.0005057455, W=0.9994009 
Frame 00034 Rotation: X=-0.004444771, Y=0.03537835, Z=0.0005473412, W=0.999364 
Frame 00035 Rotation: X=-0.004696296, Y=0.0361515, Z=0.00058053, W=0.9993352 
Frame 00036 Rotation: X=-0.004990018, Y=0.03701823, Z=0.0006194568, W=0.999302 
Frame 00037 Rotation: X=-0.005389299, Y=0.03813995, Z=0.0006725999, W=0.9992577 
Frame 00038 Rotation: X=-0.005778857, Y=0.03917827, Z=0.0007247379, W=0.9992153 
Frame 00039 Rotation: X=-0.006167291, Y=0.04016474, Z=0.0007770357, W=0.9991738 
Frame 00040 Rotation: X=-0.006556249, Y=0.04110789, Z=0.0008296772, W=0.9991329 
Frame 00041 Rotation: X=-0.00698633, Y=0.04210446, Z=0.0008881602, W=0.9990884 
Frame 00042 Rotation: X=-0.007429692, Y=0.04308536, Z=0.0009487528, W=0.9990433 
Frame 00043 Rotation: X=-0.007923764, Y=0.04412819, Z=0.001016708, W=0.998994 
Frame 00044 Rotation: X=-0.008399088, Y=0.04508617, Z=0.00108231, W=0.9989473 
Frame 00045 Rotation: X=-0.008916541, Y=0.046083, Z=0.001154022, W=0.9988972 
Frame 00046 Rotation: X=-0.009460255, Y=0.04708341, Z=0.001229695, W=0.9988455 
Frame 00047 Rotation: X=-0.009981285, Y=0.04799956, Z=0.001302505, W=0.9987967 
Frame 00048 Rotation: X=-0.01054008, Y=0.04894039, Z=0.001380847, W=0.9987451 
Frame 00049 Rotation: X=-0.01113544, Y=0.04989805, Z=0.00146452, W=0.9986912 
Frame 00050 Rotation: X=-0.01174679, Y=0.05083667, Z=0.001550623, W=0.9986367 
Frame 00051 Rotation: X=-0.01238612, Y=0.0517735, Z=0.001640803, W=0.9985808 
Frame 00052 Rotation: X=-0.01304767, Y=0.05269908, Z=0.001734243, W=0.9985237 
Frame 00053 Rotation: X=-0.01373098, Y=0.05361255, Z=0.00183086, W=0.9984658 
Frame 00054 Rotation: X=-0.01437601, Y=0.05444074, Z=0.001922218, W=0.9984117 
Frame 00055 Rotation: X=-0.01507733, Y=0.05530065, Z=0.002021632, W=0.9983539 
Frame 00056 Rotation: X=-0.01591635, Y=0.05627767, Z=0.002140105, W=0.998286 
Frame 00057 Rotation: X=-0.01670802, Y=0.05715417, Z=0.002251711, W=0.9982231 
Frame 00058 Rotation: X=-0.0174976, Y=0.05798853, Z=0.002362857, W=0.9981611 
Frame 00059 Rotation: X=-0.01833094, Y=0.05882864, Z=0.002479863, W=0.9980967 
Frame 00060 Rotation: X=-0.01917361, Y=0.05963938, Z=0.00259786, W=0.9980325 
Frame 00061 Rotation: X=-0.0200601, Y=0.06045207, Z=0.002721515, W=0.9979659 
